"","依賴人口比率─按區域別分"
"","扶養比 / 區域別總計 ","扶養比 / 新北市 ","扶養比 / 臺北縣 ","扶養比 / 臺北市 ","扶養比 / 桃園市 ","扶養比 / 桃園縣(103年改制前) ","扶養比 / 臺中市 ","扶養比 / 臺中市(99年改制前) ","扶養比 / 臺中縣 ","扶養比 / 臺南市 ","扶養比 / 臺南市(99年改制前) ","扶養比 / 臺南縣 ","扶養比 / 高雄市 ","扶養比 / 高雄市(99年改制前) ","扶養比 / 高雄縣 ","扶養比 / 宜蘭縣 ","扶養比 / 新竹縣 ","扶養比 / 苗栗縣 ","扶養比 / 彰化縣 ","扶養比 / 南投縣 ","扶養比 / 雲林縣 ","扶養比 / 嘉義縣 ","扶養比 / 屏東縣 ","扶養比 / 臺東縣 ","扶養比 / 花蓮縣 ","扶養比 / 澎湖縣 ","扶養比 / 基隆市 ","扶養比 / 新竹市 ","扶養比 / 嘉義市 ","扶養比 / 金門縣 ","扶養比 / 連江縣 ","幼年人口依賴比 / 區域別總計 ","幼年人口依賴比 / 新北市 ","幼年人口依賴比 / 臺北縣 ","幼年人口依賴比 / 臺北市 ","幼年人口依賴比 / 桃園市 ","幼年人口依賴比 / 桃園縣(103年改制前) ","幼年人口依賴比 / 臺中市 ","幼年人口依賴比 / 臺中市(99年改制前) ","幼年人口依賴比 / 臺中縣 ","幼年人口依賴比 / 臺南市 ","幼年人口依賴比 / 臺南市(99年改制前) ","幼年人口依賴比 / 臺南縣 ","幼年人口依賴比 / 高雄市 ","幼年人口依賴比 / 高雄市(99年改制前) ","幼年人口依賴比 / 高雄縣 ","幼年人口依賴比 / 宜蘭縣 ","幼年人口依賴比 / 新竹縣 ","幼年人口依賴比 / 苗栗縣 ","幼年人口依賴比 / 彰化縣 ","幼年人口依賴比 / 南投縣 ","幼年人口依賴比 / 雲林縣 ","幼年人口依賴比 / 嘉義縣 ","幼年人口依賴比 / 屏東縣 ","幼年人口依賴比 / 臺東縣 ","幼年人口依賴比 / 花蓮縣 ","幼年人口依賴比 / 澎湖縣 ","幼年人口依賴比 / 基隆市 ","幼年人口依賴比 / 新竹市 ","幼年人口依賴比 / 嘉義市 ","幼年人口依賴比 / 金門縣 ","幼年人口依賴比 / 連江縣 ","老年人口依賴比 / 區域別總計 ","老年人口依賴比 / 新北市 ","老年人口依賴比 / 臺北縣 ","老年人口依賴比 / 臺北市 ","老年人口依賴比 / 桃園市 ","老年人口依賴比 / 桃園縣(103年改制前) ","老年人口依賴比 / 臺中市 ","老年人口依賴比 / 臺中市(99年改制前) ","老年人口依賴比 / 臺中縣 ","老年人口依賴比 / 臺南市 ","老年人口依賴比 / 臺南市(99年改制前) ","老年人口依賴比 / 臺南縣 ","老年人口依賴比 / 高雄市 ","老年人口依賴比 / 高雄市(99年改制前) ","老年人口依賴比 / 高雄縣 ","老年人口依賴比 / 宜蘭縣 ","老年人口依賴比 / 新竹縣 ","老年人口依賴比 / 苗栗縣 ","老年人口依賴比 / 彰化縣 ","老年人口依賴比 / 南投縣 ","老年人口依賴比 / 雲林縣 ","老年人口依賴比 / 嘉義縣 ","老年人口依賴比 / 屏東縣 ","老年人口依賴比 / 臺東縣 ","老年人口依賴比 / 花蓮縣 ","老年人口依賴比 / 澎湖縣 ","老年人口依賴比 / 基隆市 ","老年人口依賴比 / 新竹市 ","老年人口依賴比 / 嘉義市 ","老年人口依賴比 / 金門縣 ","老年人口依賴比 / 連江縣 ","老化指數 / 區域別總計 ","老化指數 / 新北市 ","老化指數 / 臺北縣 ","老化指數 / 臺北市 ","老化指數 / 桃園市 ","老化指數 / 桃園縣(103年改制前) ","老化指數 / 臺中市 ","老化指數 / 臺中市(99年改制前) ","老化指數 / 臺中縣 ","老化指數 / 臺南市 ","老化指數 / 臺南市(99年改制前) ","老化指數 / 臺南縣 ","老化指數 / 高雄市 ","老化指數 / 高雄市(99年改制前) ","老化指數 / 高雄縣 ","老化指數 / 宜蘭縣 ","老化指數 / 新竹縣 ","老化指數 / 苗栗縣 ","老化指數 / 彰化縣 ","老化指數 / 南投縣 ","老化指數 / 雲林縣 ","老化指數 / 嘉義縣 ","老化指數 / 屏東縣 ","老化指數 / 臺東縣 ","老化指數 / 花蓮縣 ","老化指數 / 澎湖縣 ","老化指數 / 基隆市 ","老化指數 / 新竹市 ","老化指數 / 嘉義市 ","老化指數 / 金門縣 ","老化指數 / 連江縣 "
"90年","   42.07","   37.45","   37.45","   41.27","   45.47","   45.47","   43.04","   43.00","   43.07","   42.01","   39.65","   43.63","   38.28","   37.40","   39.36","   45.54","   50.39","   47.35","   44.93","   45.13","   45.10","   46.06","   42.85","   44.57","   44.33","   48.16","   41.33","   45.32","   44.05","   48.31","   34.64","   29.56","   28.59","   28.59","   27.23","   34.58","   34.58","   32.98","   33.56","   32.60","   28.14","   28.68","   27.77","   27.34","   27.22","   27.49","   30.27","   35.49","   30.83","   30.83","   29.31","   27.70","   27.44","   28.21","   28.09","   28.70","   26.99","   28.53","   32.97","   31.30","   28.84","   22.12","   12.51","    8.86","    8.86","   14.04","   10.89","   10.89","   10.07","    9.44","   10.47","   13.86","   10.97","   15.85","   10.94","   10.18","   11.87","   15.27","   14.90","   16.52","   14.10","   15.82","   17.40","   18.62","   14.64","   16.48","   15.62","   21.17","   12.80","   12.36","   12.75","   19.47","   12.52","   42.33","   30.97","   30.97","   51.58","   31.49","   31.49","   30.52","   28.14","   32.13","   49.26","   38.24","   57.08","   40.02","   37.41","   43.19","   50.45","   41.97","   53.60","   45.72","   53.96","   62.81","   67.86","   51.89","   58.68","   54.44","   78.43","   44.87","   37.49","   40.75","   67.52","   56.60"
"90年 1月","   42.31","   37.97","   37.97","   41.45","   45.84","   45.84","   43.44","   43.48","   43.41","   42.22","   39.85","   43.83","   38.46","   37.49","   39.65","   45.59","   50.31","   47.45","   45.07","   45.16","   44.82","   45.74","   42.94","   44.66","   44.54","   49.19","   41.44","   45.39","   44.11","   49.65","   44.41","   30.00","   29.16","   29.16","   27.73","   34.94","   34.94","   33.52","   34.14","   33.11","   28.63","   29.06","   28.34","   27.76","   27.60","   27.96","   30.68","   35.71","   31.22","   31.35","   29.72","   27.94","   27.59","   28.61","   28.33","   29.00","   27.67","   28.94","   33.05","   31.59","   30.23","   28.43","   12.31","    8.81","    8.81","   13.72","   10.90","   10.90","    9.92","    9.33","   10.30","   13.58","   10.79","   15.49","   10.70","    9.89","   11.69","   14.91","   14.60","   16.24","   13.72","   15.44","   16.89","   18.15","   14.33","   16.34","   15.55","   21.52","   12.50","   12.34","   12.52","   19.42","   15.97","   41.03","   30.20","   30.20","   49.48","   31.18","   31.18","   29.60","   27.33","   31.11","   47.44","   37.14","   54.66","   38.54","   35.84","   41.82","   48.59","   40.89","   52.01","   43.76","   51.96","   60.44","   65.81","   50.07","   57.68","   53.62","   77.77","   43.21","   37.34","   39.64","   64.23","   56.17"
"90年 2月","   42.30","   37.94","   37.94","   41.45","   45.83","   45.83","   43.42","   43.44","   43.40","   42.21","   39.84","   43.82","   38.46","   37.51","   39.63","   45.60","   50.32","   47.43","   45.07","   45.20","   44.84","   45.78","   42.96","   44.68","   44.53","   49.16","   41.43","   45.43","   44.12","   49.25","   44.19","   29.98","   29.13","   29.13","   27.69","   34.94","   34.94","   33.49","   34.10","   33.09","   28.60","   29.04","   28.30","   27.74","   27.58","   27.93","   30.64","   35.70","   31.18","   31.32","   29.71","   27.91","   27.57","   28.59","   28.32","   28.96","   27.65","   28.90","   33.08","   31.58","   29.93","   28.35","   12.33","    8.80","    8.80","   13.75","   10.89","   10.89","    9.93","    9.35","   10.31","   13.61","   10.80","   15.52","   10.72","    9.93","   11.70","   14.95","   14.63","   16.25","   13.75","   15.49","   16.93","   18.21","   14.37","   16.37","   15.57","   21.51","   12.53","   12.36","   12.54","   19.32","   15.84","   41.12","   30.22","   30.22","   49.65","   31.16","   31.16","   29.65","   27.41","   31.15","   47.57","   37.21","   54.83","   38.65","   35.98","   41.87","   48.80","   40.97","   52.11","   43.90","   52.14","   60.68","   66.03","   50.25","   57.81","   53.76","   77.78","   43.36","   37.36","   39.69","   64.55","   55.89"
"90年 3月","   42.28","   37.88","   37.88","   41.44","   45.78","   45.78","   43.37","   43.38","   43.36","   42.20","   39.82","   43.83","   38.44","   37.49","   39.61","   45.61","   50.36","   47.41","   45.08","   45.20","   44.87","   45.79","   42.96","   44.68","   44.51","   49.08","   41.43","   45.43","   44.15","   49.08","   43.54","   29.94","   29.08","   29.08","   27.66","   34.90","   34.90","   33.44","   34.06","   33.04","   28.58","   29.02","   28.27","   27.71","   27.55","   27.91","   30.63","   35.71","   31.15","   31.30","   29.67","   27.88","   27.54","   28.56","   28.29","   28.94","   27.60","   28.87","   33.10","   31.59","   29.76","   27.97","   12.34","    8.80","    8.80","   13.79","   10.88","   10.88","    9.93","    9.33","   10.32","   13.62","   10.80","   15.55","   10.74","    9.95","   11.70","   14.98","   14.66","   16.26","   13.78","   15.53","   16.99","   18.25","   14.40","   16.39","   15.57","   21.48","   12.55","   12.34","   12.55","   19.32","   15.57","   41.21","   30.26","   30.26","   49.85","   31.19","   31.19","   29.69","   27.38","   31.23","   47.68","   37.23","   55.01","   38.75","   36.12","   41.94","   48.91","   41.04","   52.21","   44.03","   52.32","   60.94","   66.26","   50.39","   57.92","   53.78","   77.82","   43.48","   37.27","   39.74","   64.90","   55.65"
"90年 4月","   42.25","   37.83","   37.83","   41.42","   45.72","   45.72","   43.32","   43.35","   43.31","   42.16","   39.78","   43.79","   38.42","   37.49","   39.55","   45.60","   50.33","   47.39","   45.06","   45.20","   44.86","   45.77","   42.94","   44.68","   44.46","   49.10","   41.42","   45.46","   44.13","   48.91","   41.69","   29.91","   29.04","   29.04","   27.62","   34.85","   34.85","   33.40","   34.03","   32.99","   28.54","   28.99","   28.23","   27.68","   27.54","   27.85","   30.60","   35.66","   31.12","   31.26","   29.65","   27.85","   27.52","   28.54","   28.29","   28.90","   27.62","   28.87","   33.14","   31.59","   29.61","   26.71","   12.34","    8.79","    8.79","   13.80","   10.87","   10.87","    9.92","    9.32","   10.32","   13.62","   10.80","   15.56","   10.74","    9.96","   11.70","   15.00","   14.66","   16.27","   13.80","   15.55","   17.01","   18.25","   14.40","   16.39","   15.56","   21.48","   12.56","   12.33","   12.55","   19.30","   14.98","   41.25","   30.25","   30.25","   49.97","   31.19","   31.19","   29.71","   27.38","   31.27","   47.74","   37.25","   55.12","   38.80","   36.17","   42.00","   49.01","   41.12","   52.30","   44.16","   52.44","   61.08","   66.32","   50.44","   57.95","   53.83","   77.76","   43.51","   37.20","   39.72","   65.20","   56.07"
"90年 5月","   42.23","   37.81","   37.81","   41.38","   45.70","   45.70","   43.30","   43.31","   43.30","   42.13","   39.78","   43.75","   38.39","   37.49","   39.50","   45.57","   50.34","   47.38","   45.04","   45.20","   44.88","   45.67","   42.92","   44.67","   44.45","   48.88","   41.40","   45.45","   44.20","   48.63","   39.29","   29.88","   29.02","   29.02","   27.56","   34.83","   34.83","   33.37","   33.99","   32.97","   28.50","   28.99","   28.17","   27.64","   27.52","   27.80","   30.53","   35.65","   31.09","   31.22","   29.62","   27.84","   27.43","   28.51","   28.25","   28.88","   27.47","   28.83","   33.15","   31.63","   29.42","   25.07","   12.35","    8.79","    8.79","   13.82","   10.86","   10.86","    9.93","    9.32","   10.33","   13.63","   10.79","   15.58","   10.75","    9.97","   11.70","   15.03","   14.69","   16.28","   13.82","   15.57","   17.05","   18.24","   14.41","   16.41","   15.57","   21.41","   12.57","   12.30","   12.58","   19.21","   14.23","   41.32","   30.28","   30.28","   50.14","   31.18","   31.18","   29.76","   27.43","   31.32","   47.82","   37.21","   55.31","   38.88","   36.23","   42.10","   49.24","   41.19","   52.37","   44.28","   52.58","   61.24","   66.49","   50.54","   58.10","   53.91","   77.95","   43.60","   37.11","   39.77","   65.29","   56.75"
"90年 6月","   42.20","   37.77","   37.77","   41.35","   45.67","   45.67","   43.26","   43.27","   43.26","   42.10","   39.75","   43.72","   38.37","   37.48","   39.47","   45.51","   50.36","   47.36","   44.99","   45.18","   44.91","   45.68","   42.90","   44.62","   44.40","   48.65","   41.43","   45.39","   44.27","   48.54","   38.71","   29.84","   28.98","   28.98","   27.52","   34.81","   34.81","   33.33","   33.95","   32.93","   28.46","   28.95","   28.12","   27.60","   27.48","   27.75","   30.50","   35.66","   31.05","   31.16","   29.58","   27.83","   27.40","   28.46","   28.21","   28.83","   27.34","   28.84","   33.10","   31.67","   29.32","   24.76","   12.36","    8.79","    8.79","   13.84","   10.86","   10.86","    9.94","    9.32","   10.34","   13.64","   10.79","   15.60","   10.77","    9.99","   11.72","   15.01","   14.69","   16.31","   13.84","   15.60","   17.08","   18.28","   14.44","   16.41","   15.57","   21.31","   12.59","   12.29","   12.60","   19.22","   13.95","   41.42","   30.35","   30.35","   50.28","   31.20","   31.20","   29.81","   27.46","   31.39","   47.93","   37.27","   55.46","   39.01","   36.36","   42.23","   49.22","   41.20","   52.52","   44.41","   52.74","   61.36","   66.73","   50.74","   58.19","   54.01","   77.95","   43.66","   37.12","   39.77","   65.57","   56.33"
"90年 7月","   42.16","   37.71","   37.71","   41.31","   45.64","   45.64","   43.21","   43.22","   43.20","   42.08","   39.74","   43.69","   38.35","   37.47","   39.43","   45.49","   50.33","   47.31","   44.95","   45.17","   44.91","   45.74","   42.86","   44.61","   44.38","   48.50","   41.40","   45.31","   44.08","   48.38","   36.44","   29.79","   28.91","   28.91","   27.45","   34.78","   34.78","   33.27","   33.89","   32.86","   28.41","   28.93","   28.06","   27.56","   27.45","   27.69","   30.44","   35.63","   30.99","   31.10","   29.53","   27.80","   27.43","   28.40","   28.17","   28.80","   27.27","   28.79","   33.05","   31.52","   29.15","   23.31","   12.37","    8.80","    8.80","   13.86","   10.85","   10.85","    9.94","    9.33","   10.34","   13.67","   10.81","   15.63","   10.79","   10.02","   11.73","   15.05","   14.70","   16.32","   13.85","   15.64","   17.11","   18.32","   14.46","   16.44","   15.58","   21.23","   12.60","   12.26","   12.56","   19.23","   13.13","   41.53","   30.42","   30.42","   50.48","   31.20","   31.20","   29.88","   27.54","   31.46","   48.10","   37.36","   55.70","   39.15","   36.50","   42.37","   49.43","   41.25","   52.67","   44.55","   52.96","   61.57","   66.79","   50.91","   58.34","   54.10","   77.86","   43.78","   37.11","   39.86","   65.97","   56.30"
"90年 8月","   42.13","   37.66","   37.66","   41.29","   45.61","   45.61","   43.16","   43.18","   43.15","   42.06","   39.72","   43.66","   38.32","   37.46","   39.38","   45.48","   50.28","   47.27","   44.93","   45.13","   44.93","   45.77","   42.86","   44.58","   44.37","   48.31","   41.35","   45.31","   44.11","   48.42","   35.92","   29.74","   28.86","   28.86","   27.40","   34.76","   34.76","   33.21","   33.84","   32.80","   28.36","   28.89","   27.99","   27.51","   27.41","   27.63","   30.39","   35.56","   30.94","   31.03","   29.47","   27.76","   27.40","   28.37","   28.14","   28.78","   27.15","   28.74","   33.05","   31.52","   29.17","   23.06","   12.39","    8.80","    8.80","   13.89","   10.85","   10.85","    9.95","    9.34","   10.35","   13.70","   10.83","   15.67","   10.81","   10.05","   11.75","   15.09","   14.71","   16.33","   13.89","   15.65","   17.17","   18.37","   14.49","   16.44","   15.58","   21.16","   12.61","   12.27","   12.60","   19.25","   12.86","   41.65","   30.49","   30.49","   50.68","   31.21","   31.21","   29.96","   27.61","   31.55","   48.32","   37.51","   55.98","   39.30","   36.66","   42.51","   49.64","   41.37","   52.76","   44.77","   53.11","   61.83","   67.02","   51.08","   58.44","   54.14","   77.93","   43.88","   37.12","   39.97","   66.01","   55.76"
"90年 9月","   42.10","   37.58","   37.58","   41.28","   45.56","   45.56","   43.10","   43.12","   43.09","   42.04","   39.70","   43.65","   38.30","   37.44","   39.35","   45.46","   50.26","   47.26","   44.91","   45.10","   45.02","   45.81","   42.81","   44.55","   44.31","   48.01","   41.31","   45.27","   44.03","   48.37","   34.54","   29.67","   28.77","   28.77","   27.35","   34.70","   34.70","   33.12","   33.75","   32.72","   28.28","   28.82","   27.91","   27.45","   27.35","   27.57","   30.32","   35.51","   30.89","   30.96","   29.39","   27.76","   27.39","   28.29","   28.09","   28.71","   26.94","   28.67","   32.99","   31.41","   29.05","   22.21","   12.42","    8.82","    8.82","   13.93","   10.87","   10.87","    9.98","    9.37","   10.37","   13.76","   10.88","   15.73","   10.85","   10.09","   11.78","   15.14","   14.75","   16.37","   13.96","   15.71","   17.26","   18.43","   14.53","   16.46","   15.60","   21.08","   12.64","   12.28","   12.63","   19.32","   12.33","   41.87","   30.65","   30.65","   50.95","   31.31","   31.31","   30.12","   27.77","   31.71","   48.63","   37.74","   56.36","   39.51","   36.88","   42.71","   49.93","   41.53","   52.99","   45.09","   53.44","   62.16","   67.28","   51.35","   58.61","   54.31","   78.25","   44.10","   37.24","   40.21","   66.50","   55.49"
