year,government,over_one_year,less_one_year,total
93,合計,3878450,356058,4234508
93,中央政府,3362141,240100,3602241
93,地方政府,516309,115958,632267
93,直轄市,305451,0,305451
93,臺北市,197624,0,197624
93,高雄市,107827,0,107827
93,縣市,201388,115673,317061
93,臺北縣,41759,22083,63842
93,桃園縣,16800,9141,25941
93,宜蘭縣,7704,5478,13182
93,新竹縣,8862,5681,14543
93,苗栗縣,7942,5749,13691
93,臺中縣,11730,8450,20180
93,彰化縣,10193,749,10942
93,南投縣,8575,646,9221
93,雲林縣,10722,7571,18293
93,嘉義縣,9359,5176,14535
93,臺南縣,12862,13087,25949
93,高雄縣,7870,8500,16370
93,屏東縣,12612,4191,16803
93,臺東縣,1600,1013,2613
93,花蓮縣,4250,2415,6665
93,澎湖縣,4,656,660
93,基隆市,4136,0,4136
93,新竹市,5419,2957,8376
93,臺中市,6105,3091,9196
93,嘉義市,1460,1500,2960
93,臺南市,11424,7539,18963
93,金門縣,0,0,0
93,連江縣,0,0,0
93,鄉鎮市,9470,285,9755
94,合計,4100632,279594,4380226
94,中央政府,3549617,157000,3706617
94,地方政府,551015,122594,673609
94,直轄市,310995,0,310995
94,臺北市,189948,0,189948
94,高雄市,121047,0,121047
94,縣市,231608,122128,353736
94,臺北縣,39236,17820,57056
94,桃園縣,17650,14878,32528
94,宜蘭縣,8986,7098,16084
94,新竹縣,10636,6723,17359
94,苗栗縣,10700,5527,16227
94,臺中縣,15843,10101,25944
94,彰化縣,10193,2350,12543
94,南投縣,11047,1090,12137
94,雲林縣,13722,6183,19905
94,嘉義縣,11409,5320,16729
94,臺南縣,17934,9306,27240
94,高雄縣,8426,8500,16926
94,屏東縣,13508,4410,17918
94,臺東縣,2650,1498,4148
94,花蓮縣,5250,3509,8759
94,澎湖縣,0,1123,1123
94,基隆市,5663,1400,7063
94,新竹市,7640,2897,10537
94,臺中市,6562,4173,10735
94,嘉義市,1489,2051,3540
94,臺南市,13064,6171,19235
94,金門縣,0,0,0
94,連江縣,0,0,0
94,鄉鎮市,8412,466,8878
95,合計,4186291,238806,4425097
95,中央政府,3622642,110000,3732642
95,地方政府,563649,128806,692455
95,直轄市,303997,0,303997
95,臺北市,184218,0,184218
95,高雄市,119779,0,119779
95,縣市,251869,128289,380158
95,臺北縣,38781,18700,57481
95,桃園縣,21425,14190,35615
95,宜蘭縣,8956,6701,15657
95,新竹縣,11948,7263,19211
95,苗栗縣,11575,6421,17996
95,臺中縣,19950,10657,30607
95,彰化縣,11168,2500,13668
95,南投縣,12317,2832,15149
95,雲林縣,14009,6308,20317
95,嘉義縣,11835,5488,17323
95,臺南縣,18090,9081,27171
95,高雄縣,9160,8500,17660
95,屏東縣,14389,5881,20270
95,臺東縣,3525,2142,5667
95,花蓮縣,6010,3266,9276
95,澎湖縣,900,302,1202
95,基隆市,6653,2300,8953
95,新竹市,8927,2670,11597
95,臺中市,7055,3926,10981
95,嘉義市,2132,2044,4176
95,臺南市,13064,7117,20181
95,金門縣,0,0,0
95,連江縣,0,0,0
95,鄉鎮市,7783,517,8300
96,合計,4297374,200685,4498059
96,中央政府,3718196,65000,3783196
96,地方政府,579178,135685,714863
96,直轄市,304532,0,304532
96,臺北市,170468,0,170468
96,高雄市,134064,0,134064
96,縣市,267838,135181,403019
96,臺北縣,38807,23614,62421
96,桃園縣,21425,12542,33967
96,宜蘭縣,10586,6825,17411
96,新竹縣,13370,7268,20638
96,苗栗縣,12423,5746,18169
96,臺中縣,23978,10317,34295
96,彰化縣,11163,4144,15307
96,南投縣,12317,3854,16171
96,雲林縣,14009,6546,20555
96,嘉義縣,12475,6009,18484
96,臺南縣,17716,9054,26770
96,高雄縣,12197,9104,21301
96,屏東縣,15400,5070,20470
96,臺東縣,3600,2636,6236
96,花蓮縣,6755,3600,10355
96,澎湖縣,1100,132,1232
96,基隆市,7388,2400,9788
96,新竹市,9090,4175,13265
96,臺中市,7134,2966,10100
96,嘉義市,3107,2039,5146
96,臺南市,13798,7140,20938
96,金門縣,0,0,0
96,連江縣,0,0,0
96,鄉鎮市,6808,504,7312
97,合計,4374488,262878,4637366
97,中央政府,3778245,131816,3910061
97,地方政府,596243,131062,727305
97,直轄市,310156,0,310156
97,臺北市,167164,0,167164
