各級政府公共債務概況總表,,,,,,,,,,,,
93年度,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,,單位：新臺幣百萬元；％,,,,,
　　　  　   　項目,,,,,,,,,,,,
" 政府別""""",公共債務法規範之債務,,,,,其他債務,,,,,,
,一年以上債務,,未滿一年債務,,債務合計,自償性債務,非營業基金,,,,,
"未滿一年債務""""",,,,,,,,,,,,
,金額,比率,金額,比率,,,,,,,,
,-1,-2,-3,-4,(5)=(1)+(3),-6,-7,,,,,
合 　   計,"3,878,450_ ",35.73%,"356,058_ ",－,"4,234,508_ ","618,896_ ","139,003_ ",,,,,
中央政府,"3,362,141_ ",30.97%,"240,100_ ",14.14%,"3,602,241_ ","505,881_ ","113,555_ ",,,,,
地方政府,"516,309_ ",4.76%,"115,958_ ",－,"632,267_ ","113,015_ ","25,448_ ",,,,,
直轄市,"305,451_ ",－,0_ ,－,"305,451_ ","59,022_ ","24,700_ ",,,,,
臺北市,"197,624_ ",1.82%,0_ ,0.00%,"197,624_ ","33,472_ ","24,700_ ",,,,,
高雄市,"107,827_ ",0.99%,0_ ,0.00%,"107,827_ ","25,550_ ",0_ ,,,,,
縣市,"201,388_ ",1.86%,"115,673_ ",20.06%,"317,061_ ","52,583_ ",704_ ,,,,,
臺北縣,"41,759_ ",39.74%,"22,083_ ",25.10%,"63,842_ ","5,910_ ",250_ ,,,,,
桃園縣,"16,800_ ",31.50%,"9,141_ ",19.19%,"25,941_ ","3,467_ ",0_ ,,,,,
宜蘭縣,"7,704_ ",36.83%,"5,478_ ",29.43%,"13,182_ ","6,822_ ",0_ ,,,,,
新竹縣,"8,862_ ",38.44%,"5,681_ ",28.31%,"14,543_ ","5,483_ ",0_ ,,,,,
苗栗縣,"7,942_ ",28.99%,"5,749_ ",29.44%,"13,691_ ",15_ ,0_ ,,,,,
臺中縣,"11,730_ ",18.51%,"8,450_ ",19.85%,"20,180_ ","7,773_ ",23_ ,,,,,
彰化縣,"10,193_ ",27.39%,749_ ,2.38%,"10,942_ ","1,741_ ",0_ ,,,,,
南投縣,"8,575_ ",25.42%,646_ ,3.04%,"9,221_ ",387_ ,0_ ,,,,,
雲林縣,"10,722_ ",30.64%,"7,571_ ",30.44%,"18,293_ ","2,643_ ",0_ ,,,,,
嘉義縣,"9,359_ ",33.94%,"5,176_ ",28.64%,"14,535_ ","2,815_ ",0_ ,,,,,
臺南縣,"12,862_ ",33.01%,"13,087_ ",40.04%,"25,949_ ","3,396_ ",0_ ,,,,,
高雄縣,"7,870_ ",19.64%,"8,500_ ",24.53%,"16,370_ ",0_ ,95_ ,,,,,
屏東縣,"12,612_ ",33.31%,"4,191_ ",15.26%,"16,803_ ",0_ ,0_ ,,,,,
臺東縣,"1,600_ ",10.51%,"1,013_ ",8.32%,"2,613_ ",539_ ,336_ ,,,,,
花蓮縣,"4,250_ ",23.15%,"2,415_ ",15.64%,"6,665_ ",0_ ,0_ ,,,,,
澎湖縣,4_ ,0.04%,656_ ,7.91%,660_ ,0_ ,0_ ,,,,,
基隆市,"4,136_ ",20.53%,0_ ,0.00%,"4,136_ ",0_ ,0_ ,,,,,
新竹市,"5,419_ ",25.23%,"2,957_ ",16.95%,"8,376_ ",759_ ,0_ ,,,,,
臺中市,"6,105_ ",16.09%,"3,091_ ",9.22%,"9,196_ ","6,278_ ",0_ ,,,,,
嘉義市,"1,460_ ",9.30%,"1,500_ ",14.17%,"2,960_ ",450_ ,0_ ,,,,,
臺南市,"11,424_ ",42.50%,"7,539_ ",34.86%,"18,963_ ","3,655_ ",0_ ,,,,,
金門縣,0_ ,0.00%,0_ ,0.00%,0_ ,450_ ,0_ ,,,,,
連江縣,0_ ,0.00%,0_ ,0.00%,0_ ,0_ ,0_ ,,,,,
鄉鎮市,"9,470_ ",0.09%,285_ ,0.19%,"9,755_ ","1,410_ ",44_ ,,,,,
註1：中央政府、直轄市及縣(市)政府為審定決算數，鄉(鎮、市)公所為決算數。,,,,,,,,,,,,
註2：依據103年1月1日新公共債務法施行前之該法第4條規定，各級政府債限如下：,,,,,,,,,,,,
 (1) 一年以上非自償債務：中央及各地方政府所舉借之一年以上非自償債務未償餘額不得超過前三年度名目GNP(國民生產毛額)平均數之48%【中央40%，地方8%－其中臺北市3.6%、高雄市1.8%,,,,,,,,,,,,
　　　　、縣(市)2%、鄉(鎮、市)0.6%】。個別縣(市)及鄉(鎮、市)舉借一年以上非自償債務未償餘額占各該政府總預算及特別預算歲出總額之比率，各不得超過45%及25%。,,,,,,,,,,,,
 (2) 未滿一年債務：中央及各地方政府未滿一年債務未償餘額占總預算及特別預算歲出總額之比率，分別不得超過15%及30%。,,,,,,,,,,,,
註3：「*」表示債務超限。,,,,,,,,,,,,
表1-1.  縣(市)政府債務負擔表－債務餘額,,,,,,,,,,,,
截至93年度止,,,,,,,,,,,,
製表日期：105年11月24日,,,,,,,單位：新臺幣百萬元,,,,,
政 府 別,普通基金債務餘額,,,非營業基金債務餘額,,,1年以上,,,,,
非自償債務,,,,,,,,,,,,
"總計""""",付息數,,,,,,,,,,,
,1 年 以 上,,未 滿 1 年,1 年 以 上,,未 滿 1 年,,,,,,
,自償,非自償,,自償,非自償,,,,,,,
合　計,"5,347_ ","201,388_ ","115,673_ ","47,236_ ",0_ ,704_ ,"201,388_ ","5,096_ ",,,,
臺北縣,"1,126_ ","41,759_ ","22,083_ ","4,784_ ",0_ ,250_ ,"41,759_ ","1,224_ ",,,,
桃園縣,0_ ,"16,800_ ","9,141_ ","3,467_ ",0_ ,0_ ,"16,800_ ",309_ ,,,,
宜蘭縣,649_ ,"7,704_ ","5,478_ ","6,173_ ",0_ ,0_ ,"7,704_ ",215_ ,,,,
新竹縣,0_ ,"8,862_ ","5,681_ ","5,483_ ",0_ ,0_ ,"8,862_ ",406_ ,,,,
苗栗縣,0_ ,"7,942_ ","5,749_ ",15_ ,0_ ,0_ ,"7,942_ ",217_ ,,,,
臺中縣,0_ ,"11,730_ ","8,450_ ","7,773_ ",0_ ,23_ ,"11,730_ ",481_ ,,,,
彰化縣,0_ ,"10,193_ ",749_ ,"1,741_ ",0_ ,0_ ,"10,193_ ",195_ ,,,,
南投縣,0_ ,"8,575_ ",646_ ,387_ ,0_ ,0_ ,"8,575_ ",129_ ,,,,
雲林縣,0_ ,"10,722_ ","7,571_ ","2,643_ ",0_ ,0_ ,"10,722_ ",264_ ,,,,
嘉義縣,"2,815_ ","9,359_ ","5,176_ ",0_ ,0_ ,0_ ,"9,359_ ",155_ ,,,,
臺南縣,757_ ,"12,862_ ","13,087_ ","2,639_ ",0_ ,0_ ,"12,862_ ",369_ ,,,,
高雄縣,0_ ,"7,870_ ","8,500_ ",0_ ,0_ ,95_ ,"7,870_ ",171_ ,,,,
