臺南市政府警察局104年各單位肇事原因統計表(附表1-4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項目,總計,未填明肇事因素,違規超車,迴轉未依規定,橫越道路不慎,倒車未依規定,超速失控,未依規定減速,搶越行人穿越道,未保持行車安全距離,未保持行車安全間隔,停車操作時，未注意其他車(人)安全,起步未注意其他車(人)安全,爭(搶)道行駛,吸食違禁物後駕駛失控,酒醉(後)駕駛失控,疲勞(患病)駕駛失控,未注意車前狀態,違反號誌管制或指揮,違反特定標誌(線)禁制,未依規定使用燈光,蛇行、方向不定,裝載貨物不穩妥,超載人員而失控,貨物超長、寬、高而肇事,裝卸貨物不當,裝載未盡安全措施,未待乘客安全上下開車,其他裝載不當肇事,違規停車或暫停不當而肇事,拋錨未採安全措施,逆向行駛,開車門不當而肇事,使用手持行動電話失控,其他引起事故之違規或不當行為,不明原因肇事,尚未發現肇事因素,煞車失靈,方向操縱系統故障,燈光系統故障,車輪脫落或輪胎爆裂,車輛零件脫落,未靠右行駛,其它引起事故之故障,未依規定行走行人穿越道、地下道、天橋而穿越道路,未依標誌、標線、號誌或手勢指揮穿越道路,穿越道路未注意左右來車,在道路上嬉戲或奔走不定,在路上工作未設適尚標識,未依規定讓車,其它引起事故之疏失或行為,路況危險無安全(警告)設施,交通管制設施失靈或損毀,其他交通管制不管,動物竄出,當未發現肇事因素,變換車道或方向不當,左轉彎未依規定,右轉彎未依規定,,,,,,,
總計,21655,372,174,625,208,223,59,108,48,950,831,19,912,27,2,481,85,4158,1687,364,19,18,8,1,2,1,1,1,4,64,3,401,247,1,808,433,117,15,2,2,27,3,154,12,56,20,55,4,3,5127,23,5,1,5,11,3,549,1476,640,,,,,,,
新營分局,1530,30,13,57,19,22,2,12,4,48,39,0,79,3,0,30,7,376,84,31,3,0,0,0,0,0,0,0,0,3,0,42,18,0,19,10,1,3,1,0,1,0,9,1,11,2,2,0,1,356,0,0,0,0,0,0,28,111,52,,,,,,,
白河分局,564,6,10,5,3,8,8,8,0,12,15,0,25,0,0,26,13,200,19,11,1,0,2,0,0,0,0,0,0,1,0,11,3,0,2,4,1,1,0,0,3,0,10,3,0,0,1,0,0,111,1,0,0,0,1,0,5,21,13,,,,,,,
麻豆分局,1380,11,7,37,7,18,8,11,1,50,47,1,33,3,0,42,1,409,61,19,5,4,0,0,0,0,0,1,0,3,0,19,22,0,10,14,3,0,0,0,5,0,10,0,1,0,6,1,0,283,1,1,0,1,1,0,21,142,60,,,,,,,
佳里分局,1409,25,17,59,24,17,3,11,2,73,37,3,46,2,0,26,19,291,87,7,1,1,1,1,0,0,0,0,0,6,0,25,13,0,12,17,9,0,0,0,3,0,10,0,2,3,5,0,0,368,4,0,0,0,0,1,31,93,54,,,,,,,
學甲分局,436,20,8,10,2,7,2,3,0,8,9,0,8,0,1,26,2,97,28,1,1,0,0,0,0,0,0,0,0,6,0,3,3,0,20,6,3,0,1,0,1,0,5,0,1,1,2,1,0,111,1,1,0,0,2,0,5,24,6,,,,,,,
善化分局,1640,53,30,45,8,16,1,7,0,54,34,0,92,2,0,34,4,329,126,24,5,0,0,0,0,0,0,0,0,0,0,29,16,0,47,16,4,1,0,0,3,1,17,0,0,0,11,0,0,522,0,0,0,0,0,0,35,52,22,,,,,,,
新化分局,823,34,2,19,10,2,1,6,2,36,27,0,43,1,0,19,9,201,40,32,0,0,1,0,0,0,0,0,0,4,0,17,5,0,22,26,17,1,0,1,5,0,10,1,4,5,4,0,1,165,2,0,0,0,1,0,20,24,3,,,,,,,
歸仁分局,1624,53,12,71,21,15,18,5,0,118,68,1,60,1,0,40,8,269,145,13,0,1,1,0,0,0,0,0,0,1,1,27,13,0,50,26,9,1,0,0,0,0,23,2,1,1,3,0,0,274,0,1,0,0,0,0,32,169,70,,,,,,,
玉井分局,183,9,3,3,0,4,3,4,0,7,11,0,5,0,0,11,2,49,10,5,0,0,0,0,0,0,0,0,0,1,0,6,0,0,2,1,0,1,0,0,0,0,1,0,0,0,1,0,0,33,1,0,0,0,1,0,3,4,2,,,,,,,
永康分局,3628,47,34,81,35,31,6,14,7,202,155,7,167,6,0,71,11,540,375,74,3,4,0,0,0,0,0,0,2,6,1,66,45,0,67,127,41,7,0,1,3,0,28,0,9,3,3,1,0,894,2,1,0,0,0,1,86,242,122,,,,,,,
第一分局,1385,4,1,46,19,6,1,3,1,49,65,1,63,3,1,40,0,157,106,32,0,1,0,0,0,0,0,0,0,9,0,15,14,1,147,42,9,0,0,0,0,0,8,0,3,2,1,0,0,313,3,0,0,0,0,1,39,128,51,,,,,,,
第二分局,2224,7,18,71,24,16,2,5,15,91,94,5,115,1,0,10,4,475,232,58,0,3,0,0,1,0,0,0,0,10,1,46,40,0,35,35,8,0,0,0,2,0,4,1,16,0,3,0,0,509,1,0,0,1,0,0,97,128,40,,,,,,,
第三分局,1399,23,5,32,14,11,0,4,1,51,28,1,33,0,0,51,2,245,58,17,0,2,1,0,0,0,0,0,2,6,0,24,11,0,265,27,5,0,0,0,0,0,6,1,3,1,5,1,1,291,4,1,1,2,2,0,35,82,44,,,,,,,
第四分局,844,2,1,35,5,17,0,8,2,35,33,0,51,2,0,9,1,100,56,11,0,0,0,0,0,0,0,0,0,3,0,12,15,0,17,42,2,0,0,0,0,0,1,1,1,0,2,0,0,285,0,0,0,0,0,0,23,51,21,,,,,,,
第五分局,1613,14,11,26,7,16,4,5,10,94,117,0,59,0,0,11,0,305,165,28,0,2,1,0,0,1,0,0,0,3,0,35,20,0,20,31,2,0,0,0,1,2,7,0,4,2,4,0,0,444,2,0,0,1,2,0,48,78,31,,,,,,,
第六分局,973,34,2,28,10,17,0,2,3,22,52,0,33,3,0,35,2,115,95,1,0,0,1,0,1,0,1,0,0,2,0,24,9,0,73,9,3,0,0,0,0,0,5,2,0,0,2,0,0,168,1,0,0,0,1,0,41,127,49,,,,,,,
