台南市政府警察局105年03月01日至105年03月31日各單位肇事原因統計表(附表1-4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項目,總計,未填明肇事因素,違規超車,迴轉未依規定,橫越道路不慎,倒車未依規定,超速失控,未依規定減速,搶越行人穿越道,未保持行車安全距離,未保持行車安全間隔,停車操作時，未注意其他車(人)安全,起步未注意其他車(人)安全,吸食違禁物後駕駛失控,酒醉(後)駕駛失控,疲勞(患病)駕駛失控,未注意車前狀態,違反號誌管制或指揮,,違反特定標誌(線)禁制,蛇行、方向不定,貨物超長、寬、高而肇事,其他裝載不當肇事,違規停車或暫停不當而肇事,拋錨未採安全措施,逆向行駛,開?車門不當而肇事,使用手持行動電話失控,其他引起事故之違規或不當行為,不明原因肇事,尚未發現肇事因素,車輪脫落或輪胎爆裂,未靠右行駛,其它引起事故之故障,未依規定行走行人穿越道、地下道、天橋而穿越道路,未依標誌、標線、號誌或手勢指揮穿越道路,穿越道路未注意左右來車,未依規定讓車,其它引起事故之疏失或行為,路況危險無安全(警告)設施,動物竄出,變換車道或方向不當,左轉彎未依規定,右轉彎未依規定
總計,2145,286,12,50,16,13,7,7,3,87,65,1,65,1,42,13,389,157,,44,1,1,2,3,1,37,16,1,48,58,6,3,12,1,6,1,5,475,3,1,1,38,117,50
新營分局,158,21,2,3,0,0,0,0,0,8,6,0,7,0,6,3,29,14,,4,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,1,39,0,1,0,3,5,0
白河分局,49,10,0,0,0,1,0,1,0,1,2,0,1,0,0,1,7,2,,1,0,0,0,0,0,3,0,0,1,0,0,1,1,0,0,0,0,13,0,0,0,0,2,1
麻豆分局,145,12,3,6,3,0,1,1,0,4,2,0,6,0,3,1,37,4,,4,0,0,0,0,0,2,1,0,1,3,0,0,1,0,0,0,0,27,0,0,0,1,19,3
佳里分局,114,12,1,5,1,3,0,0,0,3,4,0,2,0,1,4,26,5,,0,0,0,0,0,0,4,0,0,1,3,1,0,1,1,0,0,1,22,0,0,0,1,8,4
學甲分局,30,14,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,2,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,1,1,0
善化分局,156,53,1,1,0,1,0,2,0,3,2,0,1,0,3,0,21,13,,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,39,0,0,0,3,4,3
新化分局,87,11,0,2,0,0,0,0,0,5,2,0,3,0,4,0,24,4,,6,0,0,0,0,0,2,0,0,2,3,1,0,0,0,0,0,0,14,0,0,0,1,2,1
歸仁分局,173,60,0,4,0,2,2,1,0,6,1,0,3,0,2,0,26,8,,1,0,0,0,0,0,4,0,0,0,16,1,1,2,0,0,0,0,17,0,0,0,3,8,5
玉井分局,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
永康分局,358,16,3,6,5,1,0,0,0,16,10,0,11,0,4,2,84,37,,10,0,1,1,2,0,7,3,0,11,9,1,1,4,0,1,0,1,79,2,0,0,6,15,9
第一分局,158,9,1,5,3,0,1,0,0,7,9,0,5,0,6,0,16,6,,2,0,0,0,1,1,2,0,0,8,3,1,0,1,0,2,0,0,42,0,0,0,6,12,9
第二分局,208,0,0,9,1,0,0,0,1,6,17,1,10,0,2,1,38,25,,6,0,0,0,0,0,5,7,0,4,1,0,0,0,0,2,0,0,60,0,0,0,3,6,3
第三分局,158,16,0,4,0,3,2,0,0,10,0,0,5,1,7,0,32,10,,3,0,0,0,0,0,3,0,1,7,7,0,0,1,0,0,0,0,31,0,0,0,2,10,3
第四分局,80,2,0,3,0,1,0,0,1,2,1,0,5,0,2,0,10,4,,0,0,0,1,0,0,1,1,0,0,6,0,0,0,0,0,0,1,26,0,0,0,2,10,1
第五分局,185,18,1,2,3,0,0,2,1,13,8,0,6,0,0,1,30,16,,3,0,0,0,0,0,2,0,0,4,6,0,0,0,0,1,0,1,44,0,0,0,5,12,6
第六分局,76,26,0,0,0,1,0,0,0,2,1,0,0,0,2,0,4,7,,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,18,1,0,0,1,2,2
