臺南市政府警察局105年05月01日至105年05月31日各單位肇事原因統計表(附表1-4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項目,總計,違規超車,迴轉未依規定,橫越道路不慎,倒車未依規定,超速失控,未依規定減速,搶越行人穿越道,未保持行車安全距離,未保持行車安全間隔,停車操作時，未注意其他車(人)安全,起步未注意其他車(人)安全,爭(搶)道行駛,酒醉(後)駕駛失控,疲勞(患病)駕駛失控,未注意車前狀態,違反號誌管制或指揮,違反特定標誌(線)禁制,,裝載貨物不穩妥,其他裝載不當肇事,違規停車或暫停不當而肇事,逆向行駛,開?車門不當而肇事,其他引起事故之違規或不當行為,不明原因肇事,尚未發現肇事因素,煞車失靈,車輪脫落或輪胎爆裂,未靠右行駛,其它引起事故之故障,未依規定行走行人穿越道、地下道、天橋而穿越道路,未依標誌、標線、號誌或手勢指揮穿越道路,穿越道路未注意左右來車,未依規定讓車,其它引起事故之疏失或行為,當未發現肇事因素,變換車道或方向不當,左轉彎未依規定,右轉彎未依規定
總計,1564,13,51,10,11,1,8,5,68,47,1,71,2,12,7,292,127,35,,1,1,4,35,20,44,27,8,1,1,8,1,6,1,2,440,2,1,42,98,49
新營分局,134,1,3,0,0,0,0,1,3,1,1,8,0,3,3,34,6,3,,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,46,1,0,3,8,3
白河分局,40,1,1,0,1,0,1,0,1,1,0,0,1,1,1,15,3,1,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,1,2
麻豆分局,69,1,5,2,2,0,0,1,1,1,0,4,0,2,0,15,3,0,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,13,0,0,1,10,4
佳里分局,109,1,2,0,1,0,0,1,3,2,0,3,0,1,3,24,9,0,,0,0,0,2,2,2,2,0,0,0,0,1,0,0,0,36,0,0,4,7,3
學甲分局,13,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1
善化分局,135,3,8,1,2,0,0,0,2,2,0,4,0,0,0,28,11,4,,0,0,1,3,1,2,0,0,0,0,1,0,0,0,0,50,0,0,4,4,2
新化分局,83,0,4,0,0,0,0,0,7,3,0,5,0,2,0,13,3,5,,0,0,0,1,2,2,6,1,0,1,0,0,2,0,0,23,0,0,2,1,0
歸仁分局,59,0,2,0,0,1,0,0,1,3,0,3,0,1,0,14,5,0,,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,9,0,0,2,11,4
玉井分局,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,1,1,1,0
永康分局,217,4,3,0,1,0,4,0,9,10,0,9,0,0,0,38,22,3,,0,0,1,6,2,6,7,3,0,0,1,0,0,0,0,61,0,0,4,12,8
第一分局,114,0,3,1,2,0,0,0,7,3,0,5,1,0,0,11,8,1,,0,0,1,1,0,4,2,2,0,0,2,0,2,0,0,38,0,0,4,10,5
第二分局,242,2,7,2,2,0,0,1,17,11,0,18,0,0,0,44,24,11,,0,1,0,4,5,6,2,1,0,0,2,0,1,0,0,57,0,0,7,11,3
第三分局,66,0,4,1,0,0,0,0,1,0,0,1,0,0,0,15,3,0,,1,0,0,1,2,5,1,1,0,0,0,0,0,0,0,18,0,0,4,3,5
第四分局,84,0,4,2,0,0,0,0,7,1,0,4,0,0,0,12,8,0,,0,0,0,2,1,5,1,0,0,0,0,0,0,0,0,25,0,0,1,9,2
第五分局,106,0,2,0,0,0,1,1,6,5,0,2,0,0,0,20,14,2,,0,0,0,6,2,1,3,0,0,0,0,0,0,0,0,29,0,0,2,6,3
第六分局,82,0,3,1,0,0,0,0,3,4,0,3,0,2,0,6,8,5,,0,0,1,5,2,7,1,0,1,0,0,0,0,0,0,18,1,0,3,4,4
