月份,延平郡王祠,赤崁樓,億載金城,安平古堡,安平樹屋,每月旅遊人數,累計人數
1,19264,84674,25710,88177,66749,284574,284574
2,17841,113391,35713,122118,95749,384812,669386
3,22234,79275,60320,77028,52214,291071,960457
4,18355,78754,21449,76091,62371,257020,1217477
5,19038,71364,15875,63125,49232,218634,1436111
6,17644,60987,9093,51737,47866,187327,1623438
7,22385,80834,20438,74177,63557,261391,1884829
8,17139,78608,18967,72740,57757,245211,2130040
9,12948,33361,5320,23897,17488,93014,2223054
10,14572,42818,7476,31810,20181,116857,2339911
11,17444,53460,10812,45573,32960,160249,2500160
12,15818,65717,15837,69415,53143,219930,2720090
