Date,BuyingPrice,SellingPrice,,,,NewDate
20141117,1177,1163,2014,11,17,2014/11/17
20141118,1179,1166,2014,11,18,2014/11/18
20141119,1187,1173,2014,11,19,2014/11/19
20141120,1184,1170,2014,11,20,2014/11/20
20141121,1194,1180,2014,11,21,2014/11/21
20141124,1198,1184,2014,11,24,2014/11/24
20141125,1196,1182,2014,11,25,2014/11/25
20141126,1198,1185,2014,11,26,2014/11/26
20141127,1194,1180,2014,11,27,2014/11/27
20141128,1188,1174,2014,11,28,2014/11/28
20141201,1163,1150,2014,12,01,2014/12/1
20141202,1210,1196,2014,12,02,2014/12/2
20141203,1206,1192,2014,12,03,2014/12/3
20141204,1211,1196,2014,12,04,2014/12/4
20141205,1211,1197,2014,12,05,2014/12/5
20141208,1203,1189,2014,12,08,2014/12/8
20141209,1214,1199,2014,12,09,2014/12/9
20141210,1247,1232,2014,12,10,2014/12/10
20141211,1233,1218,2014,12,11,2014/12/11
20141212,1234,1219,2014,12,12,2014/12/12
20141215,1235,1220,2014,12,15,2014/12/15
20141216,1213,1198,2014,12,16,2014/12/16
20141217,1213,1198,2014,12,17,2014/12/17
20141218,1216,1201,2014,12,18,2014/12/18
20141219,1219,1204,2014,12,19,2014/12/19
20141222,1225,1210,2014,12,22,2014/12/22
20141223,1214,1199,2014,12,23,2014/12/23
20141224,1214,1199,2014,12,24,2014/12/24
20141225,1210,1191,2014,12,25,2014/12/25
20141226,1219,1203,2014,12,26,2014/12/26
20141227,1230,1211,2014,12,27,2014/12/27
20141229,1226,1211,2014,12,29,2014/12/29
20141230,1219,1204,2014,12,30,2014/12/30
20141231,1225,1210,2014,12,31,2014/12/31
20150105,1237,1222,2015,01,05,2015/1/5
20150106,1248,1233,2015,01,06,2015/1/6
20150107,1253,1238,2015,01,07,2015/1/7
20150108,1247,1232,2015,01,08,2015/1/8
20150109,1250,1235,2015,01,09,2015/1/9
20150112,1264,1249,2015,01,12,2015/1/12
20150113,1271,1256,2015,01,13,2015/1/13
20150114,1265,1250,2015,01,14,2015/1/14
20150115,1259,1244,2015,01,15,2015/1/15
20150116,1284,1269,2015,01,16,2015/1/16
20150119,1297,1281,2015,01,19,2015/1/19
20150120,1304,1288,2015,01,20,2015/1/20
20150121,1323,1307,2015,01,21,2015/1/21
20150122,1307,1291,2015,01,22,2015/1/22
20150123,1310,1294,2015,01,23,2015/1/23
20150126,1307,1291,2015,01,26,2015/1/26
20150127,1296,1280,2015,01,27,2015/1/27
20150128,1301,1285,2015,01,28,2015/1/28
20150129,1298,1282,2015,01,29,2015/1/29
20150130,1283,1268,2015,01,30,2015/1/30
20150202,1305,1289,2015,02,02,2015/2/2
20150203,1304,1288,2015,02,03,2015/2/3
20150204,1283,1268,2015,02,04,2015/2/4
20150205,1293,1277,2015,02,05,2015/2/5
20150206,1287,1271,2015,02,06,2015/2/6
20150209,1263,1248,2015,02,09,2015/2/9
20150210,1267,1252,2015,02,10,2015/2/10
20150211,1260,1245,2015,02,11,2015/2/11
20150212,1248,1233,2015,02,12,2015/2/12
20150213,1249,1234,2015,02,13,2015/2/13
20150216,1256,1241,2015,02,16,2015/2/16
