 ¦~¥÷,eco_rating,GDP,year_rating,year,Q,month,NewYear
1962Q1,8.87,18729,6.75,1962,1,3,196203
1962Q2,9.11,19149,10.88,1962,2,6,196206
1962Q3,12.39,18535,14.31,1962,3,9,196209
1962Q4,6.05,21999,9.45,1962,4,12,196212
1963Q1,14.39,21915,17.01,1963,1,3,196303
1963Q2,10.91,21580,12.7,1963,2,6,196306
1963Q3,7.35,20498,10.59,1963,3,9,196309
1963Q4,10.33,24747,12.49,1963,4,12,196312
1964Q1,12.94,26285,19.94,1964,1,3,196403
1964Q2,13.96,25539,18.35,1964,2,6,196406
1964Q3,13.4,23734,15.79,1964,3,9,196409
1964Q4,10.57,28115,13.61,1964,4,12,196412
1965Q1,10.32,28202,7.29,1965,1,3,196503
1965Q2,11.48,28599,11.98,1965,2,6,196506
1965Q3,12.91,26824,13.02,1965,3,9,196509
1965Q4,12.81,31146,10.78,1965,4,12,196512
1966Q1,6.62,30409,7.83,1966,1,3,196603
1966Q2,9.84,31381,9.73,1966,2,6,196606
1966Q3,13.3,30925,15.29,1966,3,9,196609
1966Q4,9.01,35567,14.19,1966,4,12,196612
1967Q1,12.3,35265,15.97,1967,1,3,196703
1967Q2,10.49,35665,13.65,1967,2,6,196706
1967Q3,8.95,36030,16.51,1967,3,9,196709
1967Q4,12.68,41400,16.4,1967,4,12,196712
1968Q1,8.44,39995,13.41,1968,1,3,196803
1968Q2,9.02,41599,16.64,1968,2,6,196806
1968Q3,12.88,43049,19.48,1968,3,9,196809
1968Q4,8.72,48383,16.87,1968,4,12,196812
1969Q1,11.56,47921,19.82,1969,1,3,196903
1969Q2,9.98,48737,17.16,1969,2,6,196906
1969Q3,9.9,49360,14.66,1969,3,9,196909
1969Q4,7.27,54689,13.03,1969,4,12,196912
1970Q1,8.07,53504,11.65,1970,1,3,197003
1970Q2,13.14,57206,17.38,1970,2,6,197006
1970Q3,11.32,57392,16.27,1970,3,9,197009
1970Q4,13.32,63325,15.79,1970,4,12,197012
1971Q1,13.58,62998,17.74,1971,1,3,197103
1971Q2,16.26,67093,17.28,1971,2,6,197106
1971Q3,14.54,66623,16.08,1971,3,9,197109
1971Q4,9.76,72400,14.33,1971,4,12,197112
1972Q1,14.41,75626,20.05,1972,1,3,197203
1972Q2,14.02,80497,19.98,1972,2,6,197206
1972Q3,12.29,80079,20.2,1972,3,9,197209
1972Q4,14.73,86334,19.25,1972,4,12,197212
1973Q1,14.36,92374,22.15,1973,1,3,197303
1973Q2,10.46,98004,21.75,1973,2,6,197306
1973Q3,14.93,105494,31.74,1973,3,9,197309
1973Q4,11.8,122623,42.03,1973,4,12,197312
1974Q1,7.01,138058,49.46,1974,1,3,197403
1974Q2,3.47,142849,45.76,1974,2,6,197406
1974Q3,0.11,137738,30.56,1974,3,9,197409
1974Q4,0.36,141484,15.38,1974,4,12,197412
1975Q1,-2.81,139697,1.19,1975,1,3,197503
1975Q2,4.5,147769,3.44,1975,2,6,197506
1975Q3,10.67,151956,10.32,1975,3,9,197509
1975Q4,12.34,162405,14.79,1975,4,12,197512
1976Q1,15.96,168312,20.48,1976,1,3,197603
1976Q2,14.29,177474,20.1,1976,2,6,197606
1976Q3,12.83,181952,19.74,1976,3,9,197609
1976Q4,14.21,193845,19.36,1976,4,12,197612
1977Q1,11.98,194267,15.42,1977,1,3,197703
1977Q2,13.97,209546,18.07,1977,2,6,197706
1977Q3,9.19,211207,16.08,1977,3,9,197709
1977Q4,10.64,230637,18.98,1977,4,12,197712
1978Q1,12.9,228875,17.81,1978,1,3,197803
1978Q2,12.35,248057,18.38,1978,2,6,197806
1978Q3,17.26,258919,22.59,1978,3,9,197809
1978Q4,11.92,275650,19.52,1978,4,12,197812
1979Q1,10.73,279629,22.18,1979,1,3,197903
1979Q2,9.93,300293,21.06,1979,2,6,197906
1979Q3,7.64,311605,20.35,1979,3,9,197909
1979Q4,7.3,328069,19.02,1979,4,12,197912
1980Q1,7.91,349969,25.15,1980,1,3,198003
1980Q2,8.39,373902,24.51,1980,2,6,198006
1980Q3,7.84,383668,23.13,1980,3,9,198009
1980Q4,8.01,415086,26.52,1980,4,12,198012
1981Q1,7.15,422959,20.86,1981,1,3,198103
1981Q2,7.14,451532,20.76,1981,2,6,198106
1981Q3,8.37,459833,19.85,1981,3,9,198109
1981Q4,5.84,470719,13.4,1981,4,12,198112
1982Q1,4.58,461896,9.21,1982,1,3,198203
1982Q2,5.13,488317,8.15,1982,2,6,198206
1982Q3,4.7,489592,6.47,1982,3,9,198209
1982Q4,4.77,498589,5.92,1982,4,12,198212
1983Q1,4.29,495528,7.28,1983,1,3,198303
1983Q2,8.41,548306,12.28,1983,2,6,198306
1983Q3,11.3,554907,13.34,1983,3,9,198309
1983Q4,11.79,571264,14.58,1983,4,12,198312
1984Q1,11.88,562284,13.47,1984,1,3,198403
1984Q2,11.66,619869,13.05,1984,2,6,198406
1984Q3,9.71,620261,11.78,1984,3,9,198409
