年月,average_on_each_stock,average_earning_on_each_stock,average_on_each_stock_xxx,NewYear,year,month
9201,23.34,0.44,14.98,200301,2003,01
9202,20.68,0.43,15,200302,2003,02
9203,20.16,0.42,14.99,200303,2003,03
9204,19.43,0.47,15.21,200304,2003,04
9205,21.29,0.6,15.51,200305,2003,05
9206,22.75,0.6,15.45,200306,2003,06
9207,24.2,0.59,15.18,200307,2003,07
9208,25.21,0.88,14.8,200308,2003,08
9209,25.28,0.89,14.77,200309,2003,09
9210,27.51,1.09,15.19,200310,2003,10
9211,26.32,1.11,15.05,200311,2003,11
9212,27.35,1.12,15.19,200312,2003,12
9301,29.58,1.12,15.18,200401,2004,01
9302,31.3,1.12,15.19,200402,2004,02
9303,30.28,1.16,15.21,200403,2004,03
9304,28.6,1.77,16.35,200404,2004,04
9305,27.97,1.77,16.27,200405,2004,05
9306,26.84,1.76,16.06,200406,2004,06
9307,24.61,1.76,15.91,200407,2004,07
9308,25.73,1.95,16.01,200408,2004,08
9309,26.07,1.94,15.52,200409,2004,09
9310,25.47,2.16,16.17,200410,2004,10
9311,26.42,2.15,16.2,200411,2004,11
9312,27.8,2.14,16.09,200412,2004,12
9401,27.29,2.17,16.24,200501,2005,01
9402,28.15,2.17,16.24,200502,2005,02
9403,27.22,2.15,16.2,200503,2005,03
9404,26.37,1.82,17.15,200504,2005,04
9405,27.36,1.82,17.15,200505,2005,05
9406,28.3,1.78,17,200506,2005,06
9407,28.23,1.76,16.71,200507,2005,07
9408,26.57,1.58,15.71,200508,2005,08
9409,26.87,1.59,15.68,200509,2005,09
9410,25.38,1.62,16.52,200510,2005,10
9411,27.32,1.61,16.49,200511,2005,11
9412,28.87,1.61,16.42,200512,2005,12
9501,28.82,1.6,16.38,200601,2006,01
9502,29.01,1.61,16.39,200602,2006,02
9503,29.29,1.56,16.49,200603,2006,03
9504,32.14,1.61,17.21,200604,2006,04
9505,30.97,1.75,18.28,200605,2006,05
9506,30.31,1.75,18.22,200606,2006,06
9507,29.24,1.75,18.15,200607,2006,07
9508,29.22,1.81,17.21,200608,2006,08
9509,30.42,1.86,17.31,200609,2006,09
9510,31.4,1.87,17.82,200610,2006,10
9511,33.85,1.81,17.85,200611,2006,11
9512,35.09,1.81,17.86,200612,2006,12
9601,34.62,1.84,17.92,200701,2007,01
9602,35.54,1.85,17.93,200702,2007,02
9603,35.55,1.88,18.09,200703,2007,03
9604,35.44,1.97,19.36,200704,2007,04
9605,36.63,1.96,19.43,200705,2007,05
9606,40.02,1.96,19.39,200706,2007,06
9607,41.62,1.95,19.25,200707,2007,07
9608,39.75,2.12,18.47,200708,2007,08
9609,41.78,2.2,18.58,200709,2007,09
9610,43.46,2.42,19.61,200710,2007,10
9611,38.61,2.51,19.79,200711,2007,11
9612,38.43,2.47,19.42,200712,2007,12
9701,34.26,2.51,19.8,200801,2008,01
