Year,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,PICTURE,
1996,1,1,PHI,Allen Iverson,Georgetown University,14,914,37584,24368,3394,5624,0.425,0.313,0.78,41.1,26.7,3.7,6.2,99,0.126,2.7,44.1,http://i.cdn.turner.com/nba/nba/.element/img/2.0/sect/pulse/Rushmore/bio/allen_iverson.png,
1996,2,2,TOR,Marcus Camby,University of Massachusetts Amherst,17,973,28684,9262,9513,1837,0.466,0.205,0.67,29.5,9.5,9.8,1.9,81.6,0.137,2.9,35.6,http://l.yimg.com/bt/api/res/1.2/do.sISr2VbI4nQ_XDN9muQ--/YXBwaWQ9eW5ld3NfbGVnbztmaT1maWxsO2g9MjMwO3E9NzU7dz0zNDU-/http://l.yimg.com/xe/i/us/sp/v/nba_cutout/players_l/20131125/3084.png,
1996,3,3,VAN,Shareef Abdur-Rahim,University of California,12,830,28882,15028,6239,2109,0.472,0.297,0.81,34.8,18.1,7.5,2.5,71.2,0.118,0.9,21.1,http://media-spacejam.cursecdn.com/avatars/thumbnails/4/528/384/384/p2_33_9353.png,
1996,4,4,MIL,Stephon Marbury,Georgia Institute of Technology,13,846,31891,16297,2516,6471,0.433,0.325,0.784,37.7,19.3,3,7.6,77.5,0.117,1.2,25.6,http://a1.espncdn.com/combiner/i?img=%2Fi%2Fheadshots%2Fnba%2Fplayers%2Ffull%2F3192.png,
1996,5,5,MIN,Ray Allen,University of Connecticut,18,1300,46344,24505,5272,4361,0.452,0.4,0.894,35.6,18.9,4.1,3.4,145.1,0.15,3,58.1,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/9.png&w=350&h=254,
1996,6,6,BOS,Antoine Walker,University of Kentucky,12,893,31531,15647,6891,3170,0.414,0.325,0.633,35.3,17.5,7.7,3.5,38.1,0.058,0.8,21.9,http://media-spacejam.cursecdn.com/avatars/thumbnails/3/976/384/384/p2_40_4580.png,
1996,7,7,LAC,Lorenzen Wright,University of Memphis,13,778,18535,6191,4943,622,0.459,0.069,0.645,23.8,8,6.4,0.8,30.5,0.079,-2,0,http://stats.nba.com/media/players/132x132/953.png,
1996,8,8,NJN,Kerry Kittles,Villanova University,8,507,16929,7165,1983,1295,0.439,0.378,0.78,33.4,14.1,3.9,2.6,44.8,0.127,1.9,16.9,http://advancedathletics.com/wp-content/uploads/2008/01/KerryKittles.jpg,非png
1996,9,9,DAL,Samaki Walker,University of Louisville,10,445,7612,2376,2089,252,0.462,0.111,0.63,17.1,5.3,4.7,0.6,14.2,0.089,-3,-1.8,,
1996,10,10,IND,Erick Dampier,Mississippi State University,16,987,24003,7309,7005,817,0.498,0.125,0.626,24.3,7.4,7.1,0.8,52.7,0.105,0.2,13.1,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/181.png&w=350&h=254,
1996,11,11,GSW,Todd Fuller,North Carolina State University,5,225,2500,835,674,46,0.422,0,0.668,11.1,3.7,3,0.2,2.2,0.041,-7.1,-3.2,,
1996,12,12,CLE,Vitaly Potapenko,Wright State University,11,610,11608,3995,2725,418,0.479,0.167,0.694,19,6.5,4.5,0.7,15.5,0.064,-3.5,-4.4,,
1996,13,13,CHH,Kobe Bryant,,20,1301,47422,32822,6888,6192,0.449,0.331,0.837,36.5,25.2,5.3,4.8,172.3,0.174,4,71.9,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/110.png&w=350&h=254,
1996,14,14,SAC,Peja Stojakovic,,13,804,26966,13647,3782,1408,0.45,0.401,0.895,33.5,17,4.7,1.8,82.6,0.147,1.5,23.9,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/813.png&w=350&h=254,
1996,15,15,PHO,Steve Nash,Santa Clara University,18,1217,38069,17387,3642,10335,0.49,0.428,0.904,31.3,14.3,3,8.5,129.7,0.164,1.3,31.2,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/592.png&w=350&h=254,
1996,16,16,CHH,Tony Delk,University of Kentucky,10,545,11702,4957,1351,1024,0.408,0.343,0.769,21.5,9.1,2.5,1.9,19.5,0.08,-1.3,2.1,,
1996,17,17,POR,Jermaine O'Neal,,18,1011,27364,13309,7261,1369,0.467,0.147,0.715,27.1,13.2,7.2,1.4,66,0.116,0,13.9,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/615.png&w=350&h=254,
1996,18,18,NYK,John Wallace,Syracuse University,7,381,6143,2901,1061,281,0.462,0.3,0.74,16.1,7.6,2.8,0.7,6.4,0.05,-4.5,-3.8,,
