year,month,day,LH,LP,LM,LB,LC
2015,10,1,55.2,99.6,30.3,17.2,16.3
2015,10,2,42.0,63.1,28.6,14.2,14.8
2015,10,3,45.6,82.7,31.8,16.0,13.8
2015,10,4,43.7,92.2,37.4,23.7,13.0
2015,10,5,70.0,40.0,35.3,17.1,10.4
2015,10,6,55.7,148.4,41.0,28.8,14.0
2015,10,7,62.6,130.0,42.7,32.0,15.6
2015,10,8,64.1,151.0,40.8,35.2,16.7
2015,10,9,74.6,192.9,45.5,35.8,18.9
2015,10,10,82.4,196.0,46.0,32.8,20.6
2015,10,11,81.1,184.4,47.0,38.0,22.6
2015,10,12,82.0,184.4,56.6,30.3,18.0
2015,10,13,77.1,188.7,54.5,41.1,24.7
2015,10,14,71.6,169.8,62.6,46.7,25.6
2015,10,15,81.0,165.1,68.9,50.0,26.5
2015,10,16,92.4,193.5,71.4,55.0,28.2
2015,10,17,99.3,225.9,70.3,58.5,29.4
2015,10,18,86.9,206.6,62.6,56.5,33.0
2015,10,19,98.7,206.6,73.3,52.6,26.2
2015,10,20,87.8,204.6,62.9,50.1,29.0
2015,10,21,78.4,195.2,49.9,39.9,26.0
2015,10,22,64.8,157.9,46.8,32.0,22.7
2015,10,23,60.0,137.9,41.4,23.8,21.0
2015,10,24,59.3,117.0,38.4,22.2,20.0
2015,10,25,58.2,80.0,32.2,24.7,19.2
2015,10,26,63.7,131.4,53.7,20.7,16.2
2015,10,27,51.5,112.8,38.4,30.9,19.2
2015,10,28,47.0,87.2,41.3,38.9,18.6
2015,10,29,48.7,62.1,44.5,43.5,18.0
2015,10,30,45.1,53.6,42.9,44.9,18.0
2015,10,31,45.9,51.7,44.6,40.5,18.0
2015,11,1,50.6,71.9,37.5,39.4,17.6
2015,11,2,51.5,115.0,54.3,30.0,16.7
2015,11,3,50.4,58.5,41.0,35.5,17.1
2015,11,4,49.4,53.6,41.0,32.9,16.0
2015,11,5,48.3,46.8,40.8,31.1,14.6
2015,11,6,48.4,43.5,38.5,29.6,13.9
