year,month,day,LH,LP,LM
2015,1,1,27.2,38.4,51.7
2015,1,2,26.8,38.3,53.1
2015,1,3,27.6,44.2,53.3
2015,1,4,33.4,51.1,50.2
2015,1,5,24.4,62.5,55.2
2015,1,6,29.5,47.6,55.2
2015,1,7,28.4,40.6,50.2
2015,1,8,27.3,40.3,46.1
2015,1,9,25.9,39.3,42.7
2015,1,10,24.7,44.5,39.3
2015,1,11,24.5,36.3,31.2
2015,1,12,19.6,63,43.6
2015,1,13,20.8,36.7,36.7
2015,1,14,18,31.8,34.8
2015,1,15,17.5,33.9,32.4
2015,1,16,14.8,33.9,31.7
2015,1,17,12.8,29,29.8
2015,1,18,12.7,27.1,23.2
2015,1,19,12,27.1,32.2
2015,1,20,12.3,27.9,26.6
2015,1,21,11.7,26.1,26.1
2015,1,22,11.6,24.7,24.2
2015,1,23,10.2,23.2,24.9
2015,1,24,9.4,25.6,26.1
2015,1,25,9.5,21.8,23.8
2015,1,26,9.8,21.8,28.9
2015,1,27,9.1,23.4,24.3
2015,1,28,7.8,21,24.4
2015,1,29,7.9,20,20.7
2015,1,30,8.5,21.7,22.5
2015,1,31,8.8,24.6,22.6
2015,2,1,9.3,23.2,22.2
2015,2,2,9.6,23.2,24.7
2015,2,3,9.8,23.4,24
2015,2,4,8.8,20.3,20.9
2015,2,5,8.8,21.1,26.8
2015,2,6,9.8,20.3,25.2
2015,2,7,11.2,25.7,26.6
2015,2,8,12.9,26.6,26.3
2015,2,9,9.7,26.6,33.5
2015,2,10,11.4,29,28.1
2015,2,11,11.3,27,34.8
2015,2,12,11.9,28.9,35.5
2015,2,13,11.6,27.5,37.1
2015,2,14,11.6,33.1,36.7
2015,2,15,11.6,35.4,37.4
2015,2,16,12.5,40.6,38.9
2015,2,17,17.3,53.8,37.8
2015,2,18,19.7,34.2,31.6
2015,2,19,19.7,34.2,31.6
2015,2,20,19.7,34.2,31.6
2015,2,21,19.7,34.2,31.6
2015,2,22,19.7,25.3,31.6
2015,2,23,16.6,17.7,44.1
2015,2,24,12.8,25.7,31.4
2015,2,25,11.6,22.1,28.8
2015,2,26,11.1,19.9,28.3
2015,2,27,13.2,36.3,29.4
2015,2,28,9.4,21.8,26.8
2015,3,1,8.5,19.7,27.9
2015,3,2,11.9,10,30.4
2015,3,3,10.7,18.7,29
2015,3,4,10.6,22.6,29.7
2015,3,5,12.3,25.4,31.9
2015,3,6,15.8,33,32.8
2015,3,7,14.1,15,34.8
2015,3,8,13,15,26
2015,3,9,18.9,15,35.9
2015,3,10,15.9,29.6,32.6
2015,3,11,15.8,28,31.3
2015,3,12,12.8,27.1,31.1
2015,3,13,14.9,27.3,32.3
2015,3,14,15,26.6,33.6
2015,3,15,15.1,31.7,37.2
2015,3,16,12.1,31.7,40.5
2015,3,17,12.4,29.3,34.6
2015,3,18,10.1,25.1,32.2
2015,3,19,9.4,21.3,25.4
2015,3,20,10.2,20.1,27
2015,3,21,10.4,20.4,34
2015,3,22,11.3,20.2,31
2015,3,23,9.8,20.2,37.6
2015,3,24,12.1,23.4,34.1
2015,3,25,12.8,23,31.2
2015,3,26,16.2,28.1,33.6
2015,3,27,18.3,27.6,35.2
2015,3,28,23.7,24.2,42.8
2015,3,29,29.2,34.7,41.3
2015,3,30,23.9,34.7,37.8
2015,3,31,29.4,36,40
2015,4,1,28.4,36.9,39
2015,4,2,27,37.3,34.2
2015,4,3,27.5,35.6,34
2015,4,4,28.5,40.6,31.1
2015,4,5,30.8,33.5,34.4
2015,4,6,23.2,33.5,30.4
2015,4,7,27.4,44.3,27.7
2015,4,8,26.8,43.7,26.1
2015,4,9,26.1,42.2,25.1
